,Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Adj Close,QQQ_Volume,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Adj Close,IWM_Volume,unemployment_Actual,unemployment_Forecast,unemployment_Previous,Announcement_Day
71,4/16/2018,267,268.200012,266.070007,267.329987,241.986343,63405300,162.5,163.190002,161.479996,162.600006,156.06311,28180800,154.839996,155.820007,154.110001,155.369995,143.677856,18846900,4.10%,4.00%,4.10%,FALSE
72,4/17/2018,269.329987,270.869995,268.75,270.190002,244.575241,64682000,164.240005,166.460007,163.910004,166.100006,159.422394,35536100,156.210007,157.490005,155.960007,157.059998,145.240662,18624200,4.10%,4.00%,4.10%,FALSE
73,4/18/2018,270.690002,271.299988,269.869995,270.390015,244.756271,57303900,166.100006,167,165.309998,166.440002,159.748734,29573900,157.520004,158.380005,157.160004,157.479996,145.629059,16974200,4.10%,4.00%,4.10%,FALSE
74,4/19/2018,269.649994,269.880005,267.720001,268.890015,243.398514,77655900,165.600006,165.990005,164.339996,164.910004,158.280258,34705700,157.139999,157.539993,155.880005,156.389999,144.621078,16174500,4.10%,4.00%,4.10%,FALSE
75,4/20/2018,268.809998,269.059998,265.609985,266.609985,241.334671,99953100,164.490005,164.610001,161.729996,162.300003,155.775162,49197100,156.050003,156.720001,155.149994,155.550003,143.844299,21480600,4.10%,4.00%,4.10%,FALSE
76,4/23/2018,267.26001,267.890015,265.350006,266.570007,241.298477,65558000,163.089996,163.729996,161.020004,161.889999,155.381607,33040600,155.779999,156.289993,154.570007,155.320007,143.631607,13268200,4.10%,4.00%,4.10%,FALSE
77,4/24/2018,267.730011,267.980011,261.279999,262.980011,238.048798,112885500,162.660004,162.910004,157.389999,158.460007,152.089493,70256800,155.899994,156.630005,153.190002,154.429993,142.808563,24859700,4.10%,4.00%,4.10%,FALSE
78,4/25/2018,262.910004,264.130005,260.850006,263.630005,238.637177,103840900,158.740005,159.309998,156.470001,158.649994,152.271912,52089300,154.360001,154.800003,152.960007,154.199997,142.595856,21981400,4.10%,4.00%,4.10%,FALSE
79,4/26/2018,264.790009,267.25,264.290009,266.309998,241.063095,67731900,160.699997,162.529999,160.179993,161.990005,155.477631,43005500,154.419998,155.410004,153.940002,154.910004,143.252472,14862900,4.10%,4.00%,4.10%,FALSE
80,4/27/2018,267,267.339996,265.5,266.559998,241.289383,57053600,164.369995,164.410004,161.169998,162.089996,155.573608,51043400,154.880005,155.369995,153.779999,154.690002,143.049011,17734300,4.10%,4.00%,4.10%,FALSE
81,4/30/2018,267.26001,267.890015,264.429993,264.51001,239.433777,82182300,162.470001,163.479996,160.539993,160.940002,154.469833,35615300,155.020004,155.649994,153.289993,153.320007,141.782104,15624600,4.10%,4.00%,4.10%,FALSE
82,5/1/2018,263.869995,265.100006,262.109985,264.980011,239.859238,74203400,160.520004,162.800003,160.139999,162.779999,156.23587,36513500,153.009995,154.289993,151.710007,154.070007,142.475677,24977500,4.10%,4.00%,4.10%,FALSE
