Date,Open,High,Low,Close,Adj Close,Volume
9/25/2019,187.779999,190.580002,186.210007,190.080002,184.794922,34704900
9/26/2019,189.830002,190,187.979996,189.380005,184.114365,26826000
9/27/2019,189.729996,189.830002,185.75,187.029999,181.829712,40773500
9/30/2019,187.789993,189.110001,187.399994,188.809998,183.560196,26307700
10/1/2019,189.5,190.589996,186.960007,187.270004,182.063049,32367600
10/2/2019,186,186.029999,183.020004,184.050003,178.932571,48544300
10/3/2019,184.029999,186.210007,181.820007,186.070007,180.896362,39392500
10/4/2019,187.080002,189.080002,186.880005,188.809998,183.560196,31887600
10/7/2019,188.270004,189.740005,187.910004,188.240005,183.006058,21216000
10/8/2019,187.059998,187.860001,185.270004,185.419998,180.264465,32379300
10/9/2019,186.990005,188.080002,186.429993,187.229996,182.024139,20147400
10/10/2019,187.279999,189.429993,187.119995,188.679993,183.433823,25177700
10/11/2019,190.830002,192.630005,190.720001,191.110001,185.796249,40976700
10/14/2019,190.839996,191.699997,190.649994,191.089996,185.776855,14975000
10/15/2019,191.679993,193.970001,191.559998,193.520004,188.139267,23234200
10/16/2019,192.860001,193.529999,192.429993,193.039993,187.672623,20457100
10/17/2019,194.199997,194.5,192.809998,193.550003,188.168457,19045200
10/18/2019,193.199997,193.669998,190.710007,191.690002,186.360138,27700800
10/21/2019,192.710007,193.520004,192.139999,193.389999,188.012863,15801200
10/22/2019,194.149994,194.419998,191.789993,191.850006,186.515701,22392300
10/23/2019,191.460007,192.259995,191.149994,192.220001,186.875412,14828400
10/24/2019,193.589996,194.210007,192.740005,194.089996,188.693405,18998500
10/25/2019,193.089996,195.740005,193.050003,195.639999,190.200302,21507100
10/28/2019,196.550003,197.830002,196.550003,197.570007,192.076675,18818700
10/29/2019,197.240005,197.539993,196.009995,196.039993,190.589172,18569700
10/30/2019,196.419998,197.320007,195.289993,196.990005,191.512787,21764300
10/31/2019,197.559998,197.649994,195.940002,197.080002,191.60025,26801800
11/1/2019,197.929993,198.880005,197.630005,198.869995,193.3405,22131900
11/4/2019,200.190002,200.529999,198.869995,200.100006,194.536316,19015900
11/5/2019,200.350006,200.550003,199.550003,200.210007,194.643234,15048900
11/6/2019,199.979996,200,198.789993,199.759995,194.20578,19725500
11/7/2019,200.759995,201.720001,199.850006,200.429993,194.857117,17832400
11/8/2019,200.070007,201.25,199.539993,201.229996,195.634888,15258800
11/11/2019,200.210007,201.039993,199.940002,200.960007,195.372391,10147600
11/12/2019,201.130005,202.210007,200.820007,201.539993,195.936234,14778300
11/13/2019,200.839996,201.779999,200.710007,201.589996,195.984863,15774600
11/14/2019,200.830002,201.559998,200.220001,201.429993,195.829315,16945400
11/15/2019,202.649994,202.910004,202,202.910004,197.268188,18427900
11/18/2019,202.589996,203.389999,201.770004,203.070007,197.423706,18365900
11/19/2019,203.839996,203.839996,202.589996,203.369995,197.715393,16923300
11/20/2019,202.839996,203.449997,200.619995,202.149994,196.529282,36629000
11/21/2019,201.929993,202.070007,201.070007,201.699997,196.091797,17883600
11/22/2019,202.199997,202.320007,200.740005,201.830002,196.218216,17189600
11/25/2019,202.699997,204.259995,202.669998,204.220001,198.541748,17752800
11/26/2019,204.350006,204.869995,204.050003,204.610001,198.920898,14780600
11/27/2019,205.139999,206.050003,204.889999,206.039993,200.311157,16963100
11/29/2019,205.520004,205.830002,205,205.100006,199.397278,9854600
12/2/2019,205.110001,205.179993,201.779999,203,197.355682,28007000
12/3/2019,200.210007,201.490005,199.229996,201.410004,195.809845,31104100
12/4/2019,202.440002,202.910004,202.139999,202.429993,196.801514,15300100
12/5/2019,203.149994,203.149994,201.839996,202.830002,197.190369,14962300
12/6/2019,204.309998,205.149994,204.149994,205,199.300095,16555300
12/9/2019,204.630005,205.589996,203.979996,204.070007,198.395935,13984100
12/10/2019,204.169998,204.880005,203.440002,203.899994,198.230652,21799800
12/11/2019,204.360001,205.190002,204.039993,204.979996,199.280624,18780800
12/12/2019,204.770004,207.320007,204.490005,206.509995,200.768051,32612000
12/13/2019,206.399994,207.910004,205.960007,207.190002,201.429153,32519400
12/16/2019,208.550003,209.529999,208.479996,209.270004,203.45134,21296600
12/17/2019,209.539993,209.710007,209.039993,209.389999,203.568024,15996100
12/18/2019,209.570007,210.130005,209.330002,209.550003,203.723541,15443300
12/19/2019,209.639999,210.929993,209.619995,210.860001,204.997131,17865900
12/20/2019,211.860001,212.520004,211.270004,211.710007,205.823532,27672600
12/23/2019,212,212.149994,211.630005,211.809998,206.367172,23774700
12/24/2019,212,212.089996,211.440002,211.919998,206.474365,7089000
12/26/2019,212.259995,213.809998,212.229996,213.789993,208.296295,17067500
12/27/2019,214.539993,214.559998,213.039993,213.610001,208.120941,18134100
12/30/2019,213.5,213.630005,211.160004,212.210007,206.756897,21815500
12/31/2019,211.529999,212.759995,211.199997,212.610001,207.146591,18170900
1/2/2020,214.399994,216.160004,213.979996,216.160004,210.605362,30969400
1/3/2020,213.300003,215.470001,213.279999,214.179993,208.676254,27518900
1/6/2020,212.5,215.589996,212.240005,215.559998,210.020798,21655300
1/7/2020,215.639999,216.139999,214.850006,215.529999,209.991562,22139300
1/8/2020,215.5,218.139999,215.160004,217.149994,211.569931,26397300
1/9/2020,218.940002,219.410004,217.710007,218.990005,213.362671,23547000
1/10/2020,219.850006,219.869995,218.039993,218.429993,212.817047,21898500
1/13/2020,219.330002,220.979996,218.979996,220.949997,215.272293,22756900
1/14/2020,220.839996,221.210007,219.740005,220.080002,214.424652,24418100
1/15/2020,220.199997,221.199997,219.449997,220.169998,214.512329,25742100
1/16/2020,221.270004,222.320007,220.800003,222.279999,216.568115,18805000
1/17/2020,223.279999,223.559998,222.119995,223.380005,217.639862,24325200
1/21/2020,222.759995,223.839996,222.660004,223.279999,217.542419,21146300
1/22/2020,224.410004,225.149994,223.589996,223.869995,218.117249,20736400
1/23/2020,223.740005,224.690002,222.699997,224.589996,218.818756,26496100
1/24/2020,225.639999,225.880005,221.669998,222.699997,216.97731,37436500
1/27/2020,217.669998,219.279999,217.179993,218.100006,212.495544,42264400
1/28/2020,219.639999,221.960007,219.059998,221.449997,215.75943,26731900
1/29/2020,222.679993,222.929993,220.830002,221.809998,216.110199,28924500
1/30/2020,220.380005,222.699997,219.690002,222.600006,216.879883,39568100
1/31/2020,223.529999,223.559998,218.289993,219.070007,213.440598,52015800
2/3/2020,220.139999,222.889999,219.990005,222.380005,216.665543,25408600
2/4/2020,225.419998,227.860001,224.649994,227.470001,221.624741,30691200
2/5/2020,230.210007,230.25,226.850006,228.220001,222.355453,38534800
2/6/2020,228.789993,230.25,227.979996,230.190002,224.274872,22467100
2/7/2020,229.160004,230.440002,228.539993,229.199997,223.310272,25884900
2/10/2020,228.440002,231.979996,228.380005,231.970001,226.009094,21478900
2/11/2020,233.25,234.020004,231.399994,232.009995,226.048065,30198000
2/12/2020,233.380005,234.380005,232.800003,234.270004,228.250031,24471300
2/13/2020,232.639999,234.929993,232.360001,233.970001,227.957718,22773200
2/14/2020,234.339996,234.860001,233.550003,234.639999,228.610519,23438500
2/18/2020,233.5,235.169998,233.25,234.729996,228.698181,24394500
2/19/2020,236.130005,237.470001,235.850006,236.979996,230.89035,22230500
2/20/2020,236.460007,236.949997,231.880005,234.779999,228.746902,42604000
2/21/2020,233.610001,234.009995,229.320007,230.270004,224.352783,66017200
